"site.name","local.id","site.type","year","xcoord","ycoord","cond","pH","P","wmmi","wmmi.rating"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,61.28,4.27,24,86.304684716016,"Good"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,66.6,4.5,34,80.3244629849097,"Good"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,24.53,4.92,12,95.2006649717617,"Good"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,26.9,5.94,8,85.7250332531442,"Good"
"NWCA11-R304","GILM","SEN",2011,558038.912706,4912418.31945,57.3,6.67,49,55.8035457933947,"Poor"
"NWCA16-R304","GILM","SEN",2016,558038.912706,4912418.31945,38.9,7.24,17,61.6844403324319,"Fair"
"NWCA11-R307","GRME","SEN",2011,530759.542631,4877329.3529,80.25,4.58,2,90.9098010654868,"Good"
"NWCA16-R307","GRME","SEN",2016,530759.542631,4877329.3529,83.3,5.23,15,75.3168954753423,"Good"
"NWCA11-R308","HEBR","SEN",2011,550295.821627,4902978.34333,42.56,5.41,26,77.6890291035842,"Good"
"NWCA16-R308","HEBR","SEN",2016,550295.821627,4902978.34333,38.5,6.43,42,64.3618832114119,"Fair"
"NWCA16-R309","HODG","SEN",2016,548334.021846,4908555.80487,28.6,5.53,70,74.2846622250107,"Good"
"NWCA11-R305","LIHU","SEN",2011,562734.687133,4905961.53258,98.27,6.49,25,55.9077183466411,"Fair"
"NWCA16-R305","LIHU","SEN",2016,562734.687133,4905961.53258,55.6,6.73,29,59.1795781924585,"Fair"
